sequence_id,date
A/Luxembourg/LNS8467312/2020,2020.176
A/SriLanka/52/2019,2019.958
A/Bhutan/374/2019,2019.527
A/Sur/5609/2019,2019.736
A/Niger/7880/2020,2020.187
A/Lao/3342/2019,2019.873
A/Suriname/22/2020,2020.018
A/Zambia/281/2021,2021.434
A/Zambia/354/2021,2021.738
A/Zambia/7160/2022,2022.319
A/Estonia/126130/2020,2020.083
A/Moscow/227/2019,2019.927
A/Cheboksary/125/2020,2020.283
A/Moscow/77/2020,2020.168
A/BurkinaFaso/2617/2019,2019.807
A/SaudiArabia/620373/2019,2019.651
A/Victoria/9/2020,2020.023
A/Switzerland/6828/2019,2019.971
A/Togo/578/2020,2020.253
A/Lebanon/99/2020,2020.056
A/Orenburg/8/2020,2020.138
A/CoteDIvoire/1014/2020,2020.441
A/CoteDIvoire/951/2020,2020.406
A/SaudiArabia/45/2020,2020.939
A/Xinjiang-Kelamayi/1142/2019,2019.119
A/Yunnan-Linxiang/SWL1486/2020,2020.764
A/Victoria/2455/2019,2019.656
A/Okinawa/93/2019-egg,2019.615
A/Hawaii/66/2019-egg,2019.716
A/HongKong/2655/2019-egg,2019.371
A/Victoria/2454/2019-egg,2019.656
A/Guangdong-Maonan/SWL1536/2019-egg,2019.459
A/Ireland/87733/2019-egg,2020.073
A/PuntaArenas/19115/2020,2020.152
A/NoviSad/6101/2020,2020.094
A/Yunnan-Xianggelila/SWL1274/2020,2020.176
A/Guangdong-Maonan/SWL1536/2019,2019.459
A/Yokohama/160/2019,2019.459
A/Yokohama/163/2019,2019.547
A/Yokohama/171/2019,2019.733
A/Yokohama/185/2019,2019.758
A/Romania/975/2020,2020.13
A/England/91/2020,2020.1
A/Luxembourg/LNS9796678/2020,2020.102
A/Slovenia/3247/2019,2019.949
A/Trinidad/5042/2019,2019.793
A/Iowa/56/2019,2019.829
A/Trinidad/4907/2019,2019.733
A/SchleswigHolstein/7/2019,2019.9
A/Romania/259549/2020,2020.173
A/Iowa/1/2021,2021.149
A/NorthCarolina/1/2021-egg,2021.278
A/NorthCarolina/1/2021,2021.256
A/Romania/254922/2019,2019.908
A/Bhutan/1639/2020,2020.258
A/Paris/2321/2019,2019.79
A/Bangkok/401/2019,2019.714
A/Victoria/2841/2019,2019.774
A/Yokohama/269/2019,2019.905
A/Taiwan/83476/2019,2019.807
A/Taiwan/70786/2019,2019.845
A/Okinawa/93/2019,2019.733
A/Nagasaki/8/2020,2020.821
A/Niger/8175/2020,2020.709
A/Niger/8677/2021,2021.012
A/Niger/8677/2021-egg,2021.012
A/Niger/8673/2020,2020.999
A/Niger/8965/2021,2021.127
A/Togo/44/2021-egg,2021.126
A/Togo/312/2021,2021.201
A/Togo/881/2020-egg,2020.87
A/Togo/881/2020,2020.87
A/Togo/837/2020-egg,2020.843
A/Togo/792/2020,2020.81
A/Taiwan/97729/2019,2020.007
A/Nebraska/14/2019,2019.804
A/Wisconsin/591/2019,2019.996
A/Hawaii/70/2019,2019.275
A/Hawaii/70/2019-egg,2019.76
A/Victoria/74/2020,2020.154
A/AbuDhabi/108/2019,2019.903
A/Yamaguchi/59/2019,2019.993
A/Nigeria/4568/2020,2020.154
A/Lao/3691/2019,2019.936
A/Taiwan/83772/2019,2019.944
A/Togo/378/2021,2021.251
