sequence_id,date
A/Nakhonphanom/2883/2018,2018.922
A/Togo/634/2019,2019.382
A/Nigeria/4117/2019,2019.618
A/SaudiArabia/VRG-57/2020,2020.949
A/Mali/361/2019,2019.851
A/SouthKorea/11906/2020,2020.124
A/Niger/7228/2019,2019.738
A/Mali/86/2020,2020.654
A/Yokohama/291/2019,2019.968
A/Stavropol/10/2020,2020.171
A/Togo/230/2020,2020.07
A/Yokohama/68/2020,2020.001
A/Niger/7346/2019,2019.832
A/Spain/12026/2020,2020.116
A/Perth/20/2020-egg,2020.389
A/Perth/20/2020,2020.078
A/Moldova/14405/2020,2020.075
A/Togo/1973/2019,2019.933
A/Zahle/358/2020,2020.154
A/NewYork/21/2020,2020.097
A/Santiago/26038/2020,2020.209
A/Philippines/1/2021,2021.366
A/Ethiopia/1055/2021,2021.9
A/Ethiopia/4004/2021,2021.651
A/Mali/20051/2020,2020.154
A/Mali/20060/2020,2020.168
A/Mali/20046/2020,2020.687
A/Togo/771/2020,2020.791
A/Nigeria/5059/2020,2020.914
A/Niger/8749/2021,2021.037
A/Togo/1246/2021,2021.801
A/Niger/8635/2020,2020.99
A/Togo/237/2021,2021.168
A/Uganda/7/2021,2021.33
A/Zambia/172/2021,2021.536
A/Sydney/8/2021,2021.884
A/Uganda/210/2022,2022.141
A/Mozambique/309/2017,2017.656
A/Taiwan/544/2017,2017.464
A/Kenya/167/2018,2018.426
